Mineral,Fórmula,Elementos,Ley Teórica (%)
Calcopirita,CuFeS2,"Cu, Fe, S",34.6
Calcosina,Cu2S,"Cu, S",79.8
Covelina,CuS,"Cu, S",66.4
Bornita,Cu5FeS4,"Cu, Fe, S",63.3
Enargita,Cu3AsS4,"Cu, As, S",48.3
Cuprita,Cu2O,"Cu, O",88.8
Tenorita,CuO,"Cu, O",79.9
Malaquita,Cu2CO3(OH)2,"Cu, C, O, H",57.5
Azurita,Cu3(CO3)2(OH)2,"Cu, C, O, H",55.3
Crisocola,CuSiO3·2H2O,"Cu, Si, O, H",36.2
Molibdenita,MoS2,"Mo, S",59.9
Pirita,FeS2,"Fe, S",0.0
Marcasita,FeS2,"Fe, S",0.0
Pirrotita,Fe1-xS,"Fe, S",0.0
Hematita,Fe2O3,"Fe, O",69.9
Magnetita,Fe3O4,"Fe, O",72.4
Galena,PbS,"Pb, S",86.6
Esfalerita,ZnS,"Zn, S",67.1
Cuarzo,SiO2,"Si, O",0.0
Calcita,CaCO3,"Ca, C, O",0.0
